"";"taxon";"species";"oriPtree";"rank_oriPtree";"damage_cost";"management_cost"
"5415";"MAMMALS";"Phascolarctos cinereus";29,0946147871331;10;NA;0,00780830518745503
"5126";"MAMMALS";"Atlantoxerus getulus";8,05254312061307;288;NA;0,000134864443755961
"402";"MAMMALS";"Trichosurus vulpecula";7,45634884697488;354;1,0546375607158;4,31469266892997
"4831";"MAMMALS";"Eutamias sibiricus";7,01967332476608;427;NA;0,0136478354079637
"4877";"MAMMALS";"Atelerix albiventris";5,84242979241446;717;NA;2,99974222324839e-05
"3856";"MAMMALS";"Nyctereutes procyonoides";4,88378970444312;1087;NA;0,152009418429433
"4070";"MAMMALS";"Equus ferus";4,655454342363;1226;NA;0,00304295190087043
"3136";"MAMMALS";"Sus scrofa";4,5926952576276;1285;110,483273543235;0,561278988342514
"4739";"MAMMALS";"Rattus exulans";4,5816432079542;1294;NA;0,0198776351440298
"984";"MAMMALS";"Rousettus aegyptiacus";4,51801592790386;1347;NA;0,000470335586528106
"5250";"MAMMALS";"Myocastor coypus";4,5096008407304;1351;1,2743752916108;0,972367139994048
"13798";"BIRDS";"Threskiornis aethiopicus";12,9258449601848;637;NA;0,00210740030518533
"16591";"BIRDS";"Aquila chrysaetos";8,38472313706299;2152;NA;0,0718056178931211
"43096";"PLANTS";"Pistia stratiotes";93,1161685997678;419;NA;0,00329481060732652
"96802";"PLANTS";"Rubus fruticosus";84,3096328613602;1750;3,30680740089971;2,00477671740121
"96830";"PLANTS";"Rubus glaucus";84,3096328613602;1750;NA;0,00408252375938774
"97257";"PLANTS";"Rubus adenotrichus";84,3096328613602;1750;NA;0,000995191038225944
"97384";"PLANTS";"Rubus megalococcus";84,3096328613602;1750;NA;0,000257454091928379
"98136";"PLANTS";"Rubus armeniacus";84,3096328613602;1750;3,0141228097621;NA
"21397";"PLANTS";"Zantedeschia aethiopica";48,1558811184595;10233,5;NA;0,000104163067988405
"96777";"PLANTS";"Rubus niveus";37,8286876240237;14978,5;NA;0,0677922549836636
"35499";"PLANTS";"Hydrilla verticillata";36,3689277298791;16020;0,347185041972372;14,3247260596934
"36182";"PLANTS";"Lysichiton americanus";35,4727679205707;16622;NA;0,0137730658188081
"313363";"PLANTS";"Nymphaea mexicana";32,84813;19801;NA;0,00209095
"157873";"PLANTS";"Orobanche ramosa";32,7862337419415;19866,5;NA;0,0954964704998043
"96747";"PLANTS";"Rubus alceifolius";32,694165888782;19938;NA;0,0120560241711283
"223399";"PLANTS";"Impatiens balfourii";31,40577;23060,5;NA;5,245451e-07
"36342";"PLANTS";"Saururus cernuus";30,6851915919808;25868;NA;1,65185150678922e-05
"313410";"PLANTS";"Cabomba caroliniana";30,21567;26374;NA;0,02994612
"74485";"PLANTS";"Acacia paradoxa";28,8316882822001;29939,5;NA;0,00051761141617263
"76780";"PLANTS";"Ricinus communis";28,213471837457;31018,5;NA;0,0433224669076996
"226495";"PLANTS";"Drosanthemum floribundum";27,13712;33914,5;NA;6,842781e-05
"116253";"PLANTS";"Mimosa diplotricha";26,6142657381427;35441,5;0,18428217567177;0,00600820594613478
"21580";"PLANTS";"Colocasia esculenta";25,3724440732112;39175;NA;0,000416426685694283
"38102";"PLANTS";"Laburnum alpinum";23,3410903777465;44430,5;NA;2,52499965266947
"34453";"PLANTS";"Melia azedarach";22,6924779865688;46442,5;NA;2,58637944581467
"48844";"PLANTS";"Eucalyptus pulverulenta";19,848356756386;58961,5;NA;0,00328205987898945
"73223";"PLANTS";"Ludwigia repens";19,3149360222489;60095;NA;3,73963423935092e-06
"63228";"PLANTS";"Sapindus saponaria";17,7049499707129;67423,5;NA;9,62092833639753e-05
"22266";"PLANTS";"Lagarosiphon major";16,8788764693072;70811;NA;0,272487857969652
"123223";"PLANTS";"Lepidium latifolium";16,6458050417636;71436;0,00588199450943371;NA
