"";"taxon";"species";"oriFtree";"rank_oriFtree";"dietoriFtree";"rank_dietoriFtree";"activityoriFtree";"rank_activityoriFtree";"massoriFtree";"rank_massoriFtree";"damage_cost";"management_cost"
"3856";"MAMMALS";"Nyctereutes procyonoides";0,0513465737980755;36;0,153682735867912;34;0,000230354772328301;4362;0,000126630753986131;657;NA;0,152009418429433
"3284";"MAMMALS";"Herpestes edwardsii";0,0379644973997949;65;0,113378270030847;62;0,000420223467052952;3289;9,49987014847986e-05;1057;2,91152697935792;NA
"3340";"MAMMALS";"Paguma larvata";0,0347612778794996;81;0,103931743732885;74,5;0,000230354772328301;4362;0,00012173513328549;718;1,95325480800699;NA
"3336";"MAMMALS";"Procyon lotor";0,0260797467284067;138;0,0778872291323776;123,5;0,000230354772328301;4362;0,000121656280514181;722,5;1,55224560664666;0,0120868692808593
"4831";"MAMMALS";"Eutamias sibiricus";0,0256398419149786;141;0,0758863489733043;126;0,00097660893086848;1196,5;5,65678407630556e-05;3072,5;NA;0,0136478354079637
"3263";"MAMMALS";"Mustela erminea";0,0213567709901153;180;0,0637773040389707;160,5;0,000230354772328301;4362;6,26541590467989e-05;1843,5;NA;0,0284358854392107
"3327";"MAMMALS";"Neovison vison";0,0173458491839584;248;0,051086774500541;223,5;0,000855956453590733;1490,5;9,4816597743414e-05;1063,5;0,400490265562427;8,1049304814474
"4877";"MAMMALS";"Atelerix albiventris";0,017143002059334;254;0,0511159311625909;220,5;0,000230354772328301;4362;8,27202430827737e-05;1261,5;NA;2,99974222324839e-05
"11535";"BIRDS";"Acridotheres tristis";0,043441545833775;125;0,129289463062151;89;0,000890926689944862;3577,5;0,000144247749229053;1977,5;NA;0,0168160714285714
"14651";"BIRDS";"Sturnus vulgaris";0,040884512053513;166;0,122313931930489;124,5;0,000251428617012237;7188;8,81756130378433e-05;3595,5;40,638078330685;0,31874497361483
"13894";"BIRDS";"Pycnonotus cafer";0,0307752668365709;331;0,0737085193081264;431,5;0,0185319613033714;495;8,5319898214779e-05;3777;NA;2,16864778937663e-05
"190489";"PLANTS";"Solanum tampicense";0,598786597475815;1457;NA;NA;NA;NA;NA;NA;NA;4,297117e-05
"182874";"PLANTS";"Araujia sericifera";0,529075077701195;3491,5;NA;NA;NA;NA;NA;NA;NA;3,12575e-05
"186519";"PLANTS";"Periploca graeca";0,529075077701195;3491,5;NA;NA;NA;NA;NA;NA;NA;6,470137e-05
"157628";"PLANTS";"Striga asiatica";0,515873225913269;3683;NA;NA;NA;NA;NA;NA;NA;0,068049303830606
"157867";"PLANTS";"Orobanche aegyptiaca";0,515873225913269;3683;NA;NA;NA;NA;NA;NA;NA;0,411343558142212
"157873";"PLANTS";"Orobanche ramosa";0,515873225913269;3683;NA;NA;NA;NA;NA;NA;NA;0,0954964704998043
"199230";"PLANTS";"Senecio jacksonii";0,511043592015867;7757,5;NA;NA;NA;NA;NA;NA;2,587205;0,168436
"203315";"PLANTS";"Centaurea affinis";0,511043592015867;7757,5;NA;NA;NA;NA;NA;NA;0,01181553;NA
