"";"taxon";"species";"redlistCategory";"damage_cost";"management_cost"
"4070";"MAMMALS";"Equus ferus";"endangered";NA;0,00304295190087043
"5492";"MAMMALS";"Oryctolagus cuniculus";"endangered";66,4273398578449;1,8047991851804
"1572";"MAMMALS";"Rangifer tarandus";"vulnerable";NA;0,00203174905333007
"5415";"MAMMALS";"Phascolarctos cinereus";"vulnerable";NA;0,00780830518745503
"5852";"MAMMALS";"Ammotragus lervia";"vulnerable";NA;0,00124914172160618
"30238";"PLANTS";"Lonicera tatarica";"critically endangered";NA;1,41465567757967
"25253";"PLANTS";"Ligustrum sinense";"endangered";NA;4,27688934737628e-06
"28341";"PLANTS";"Euphorbia esula";"endangered";7,20768588062943;1,00291178173201
"39254";"PLANTS";"Kalanchoe daigremontiana";"endangered";NA;4,47046183077731e-05
"29632";"PLANTS";"Citharexylum gentryi";"vulnerable";NA;0,0135931197472695
