"";"taxon";"species";"redlistCategory";"oriPtree";"dietoriFtree";"activityoriFtree";"massoriFtree";"oriFtree";"damage_cost";"management_cost";"species2lines"
"2492";"MAMMALS";"Ondatra zibethicus";"least concern";2,83935764141726;0,00393986280363372;0,000855956453590733;0,000109091750533218;0,00163497033591922;6,94738789556228;9,6997673636107;"Ondatra
zibethicus"
"3327";"MAMMALS";"Neovison vison";"least concern";3,95531141831065;0,051086774500541;0,000855956453590733;9,4816597743414e-05;0,0173458491839584;0,400490265562427;8,1049304814474;"Neovison
vison"
"402";"MAMMALS";"Trichosurus vulpecula";"least concern";7,45634884697488;0,00406335698361656;0,00056934889082708;0,000112719725187328;0,00158180853321032;1,0546375607158;4,31469266892997;"Trichosurus
vulpecula"
"5492";"MAMMALS";"Oryctolagus cuniculus";"endangered";3,46354887045133;0,000381630947819962;0,000230354772328301;0,000116383013194898;0,000242789577781054;66,4273398578449;1,8047991851804;"Oryctolagus
cuniculus"
"5645";"MAMMALS";"Vulpes vulpes";"least concern";3,01214591352699;0,0295082158667306;0,000855956453590733;0,000114759884216197;0,0101596440681792;7,93845881815507;1,37311073604724;"Vulpes
vulpes"
"15301";"BIRDS";"Columba livia";"least concern";5,86610701626429;0,00783190994559914;0,000251428617012237;0,000241867946188167;0,00277506883626651;8,8992964047619;64,0535935458741;"Columba
livia"
"14134";"BIRDS";"Oxyura jamaicensis";"least concern";4,69662101748954;0,00159505335918511;0,00267391630260218;0,000302516330859521;0,0015238286642156;NA;0,772586440097108;"Oxyura
jamaicensis"
"14651";"BIRDS";"Sturnus vulgaris";"least concern";7,47634761409206;0,122313931930489;0,000251428617012237;8,81756130378433e-05;0,040884512053513;40,638078330685;0,31874497361483;"Sturnus
vulgaris"
"14165";"BIRDS";"Myiopsitta monachus";"least concern";6,54444107816017;0,00451726256018838;0,00128128056877528;0,000110975890720054;0,0019698396732279;0,0313942965597106;0,177147920376705;"Myiopsitta
monachus"
"13380";"BIRDS";"Branta canadensis";"least concern";3,61051235835107;0,00753619535767406;0,00209938384174702;0,000856270718440916;0,003497283305954;0,0450959883188466;0,102273877059135;"Branta
canadensis"
"195157";"PLANTS";"Parthenium hysterophorus";"not assessed";3,49761;NA;NA;NA;0,358717108837928;13,17757;663,3938;"Parthenium
hysterophorus"
"234337";"PLANTS";"Reynoutria japonica";"not assessed";NA;NA;NA;NA;0,228901776228229;0,03804468;231,8145;"Reynoutria
japonica"
"163901";"PLANTS";"Lantana camara";"not assessed";1,05863418800944;NA;NA;NA;0,287839810883409;3,43716059712201;111,823385209361;"Lantana
camara"
"98856";"PLANTS";"Cotoneaster divaricatus";"not assessed";1,78229157408567;NA;NA;NA;0,287839810883409;NA;19,0175396790506;"Cotoneaster
divaricatus"
"233979";"PLANTS";"Reynoutria sachalinensis";"not assessed";8,019802;NA;NA;NA;0,228901776228229;NA;14,34796;"Reynoutria
sachalinensis"
